t4,t5,t6,t7,t8,Avg
51,40,36,54,63,48.8
52,40,36,54,63,49
52,40,37,54,63,49.2
52,40,37,54,63,49.2
53,40,37,55,63,49.6
53,40,37,55,63,49.6
53,41,37,55,63,49.8
54,41,37,55,63,50
54,41,37,55,63,50
54,41,37,55,63,50
54,41,38,55,63,50.2
55,41,38,56,63,50.6
55,41,38,56,63,50.6
55,41,38,56,64,50.8
55,41,38,56,64,50.8
56,41,38,56,63,50.8
56,41,38,56,64,51
56,42,39,56,64,51.4
56,42,39,56,64,51.4
56,42,39,56,64,51.4
57,43,39,56,64,51.8
57,43,39,56,64,51.8
57,43,39,56,64,51.8
57,43,39,57,64,52
57,43,39,57,64,52
58,43,39,57,64,52.2
58,44,39,57,64,52.4
58,44,39,57,64,52.4
58,44,40,57,64,52.6
58,44,40,57,64,52.6
58,44,40,57,64,52.6
59,44,40,57,64,52.8
60,45,40,57,64,53.2
60,45,40,57,64,53.2
60,45,40,57,64,53.2
60,45,40,58,64,53.4
60,45,40,58,65,53.6
60,45,41,59,64,53.8
61,45,40,59,64,53.8
61,45,40,58,64,53.6
61,45,41,58,64,53.8
61,45,41,59,64,54
61,45,41,59,64,54
61,45,41,59,65,54.2
61,46,41,59,64,54.2
62,46,41,59,64,54.4
61,46,41,60,65,54.6
62,46,41,61,65,55
62,46,41,61,65,55
62,46,42,61,65,55.2
63,47,42,61,64,55.4
63,47,42,61,64,55.4
63,48,42,60,64,55.4
63,48,42,60,64,55.4
63,48,42,60,65,55.6
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,42,60,64,55.6
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,43,61,64,56
64,48,43,61,64,56
65,48,43,61,64,56.2
64,49,43,60,64,56
64,49,43,60,64,56
64,49,43,61,64,56.2
64,49,43,60,64,56
65,49,43,61,64,56.4
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,45,60,64,56.6
65,50,44,61,63,56.6
66,50,45,60,63,56.8
66,50,45,61,63,57
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,63,57
66,50,46,61,64,57.4
66,50,46,60,64,57.2
66,50,46,60,64,57.2
65,50,45,60,63,56.6
65,50,45,61,63,56.8
65,50,46,60,63,56.8
66,51,46,60,63,57.2
65,50,47,60,63,57
65,50,47,60,63,57
65,50,46,60,63,56.8
