Date, Reading
2020-10-30 22:15:01.126073,622
2020-10-30 22:15:01.127040,615
2020-10-30 22:15:01.128697,622
2020-10-30 22:15:01.130239,629
2020-10-30 22:15:01.131001,630
2020-10-30 22:15:01.134795,622
2020-10-30 22:15:01.135749,619
2020-10-30 22:15:01.136182,617
2020-10-30 22:15:01.136762,608
2020-10-30 22:15:01.138591,598
2020-10-30 22:15:01.139476,593
2020-10-30 22:15:01.140219,585
2020-10-30 22:15:01.141955,585
2020-10-30 22:15:01.146357,581
2020-10-30 22:15:01.147029,582
2020-10-30 22:15:01.147809,588
2020-10-30 22:15:01.148460,589
2020-10-30 22:15:01.149112,586
2020-10-30 22:15:01.151160,588
2020-10-30 22:15:01.153879,581
2020-10-30 22:15:01.155046,581
2020-10-30 22:15:01.156196,602
2020-10-30 22:15:01.157270,615
2020-10-30 22:15:01.158404,639
2020-10-30 22:15:01.161825,648
2020-10-30 22:15:01.162674,646
2020-10-30 22:15:01.165110,645
2020-10-30 22:15:01.165961,642
2020-10-30 22:15:01.166851,654
2020-10-30 22:15:01.167742,663
2020-10-30 22:15:01.169534,656
2020-10-30 22:15:01.171423,652
2020-10-30 22:15:01.172265,639
2020-10-30 22:15:01.173935,629
2020-10-30 22:15:01.174672,625
2020-10-30 22:15:01.175506,615
2020-10-30 22:15:01.177174,606
2020-10-30 22:15:01.180064,606
2020-10-30 22:15:01.181945,609
2020-10-30 22:15:01.188887,628
2020-10-30 22:15:01.189773,632
2020-10-30 22:15:01.190566,632
2020-10-30 22:15:01.191694,650
2020-10-30 22:15:01.192972,665
2020-10-30 22:15:01.194250,668
2020-10-30 22:15:01.195616,661
2020-10-30 22:15:01.197253,652
2020-10-30 22:15:01.198331,650
2020-10-30 22:15:01.199465,644
2020-10-30 22:15:01.200400,642
2020-10-30 22:15:01.201054,641
2020-10-30 22:15:01.201809,634
2020-10-30 22:15:01.202366,627
2020-10-30 22:15:01.202900,618
2020-10-30 22:15:01.203602,610
2020-10-30 22:15:01.205018,607
2020-10-30 22:15:01.206817,604
2020-10-30 22:15:01.214242,605
2020-10-30 22:15:01.214884,603
2020-10-30 22:15:01.215451,594
2020-10-30 22:15:01.216536,588
2020-10-30 22:15:01.217117,578
2020-10-30 22:15:01.217745,576
2020-10-30 22:15:01.218532,574
2020-10-30 22:15:01.219405,583
2020-10-30 22:15:01.220974,598
2020-10-30 22:15:01.221598,601
2020-10-30 22:15:01.222812,604
2020-10-30 22:15:01.224207,604
2020-10-30 22:15:01.225790,598
2020-10-30 22:15:01.227657,592
2020-10-30 22:15:01.229763,589
2020-10-30 22:15:01.230958,585
2020-10-30 22:15:01.231858,577
2020-10-30 22:15:01.236302,580
2020-10-30 22:15:01.239309,581
2020-10-30 22:15:01.239985,580
2020-10-30 22:15:01.240784,579
2020-10-30 22:15:01.241638,576
2020-10-30 22:15:01.242793,566
2020-10-30 22:15:01.243996,560
2020-10-30 22:15:01.248164,552
2020-10-30 22:15:01.249048,549
2020-10-30 22:15:01.249850,546
2020-10-30 22:15:01.250819,543
2020-10-30 22:15:01.251866,540
2020-10-30 22:15:01.252632,532
2020-10-30 22:15:01.253345,528
2020-10-30 22:15:01.254992,524
2020-10-30 22:15:01.255723,534
2020-10-30 22:15:01.258072,542
2020-10-30 22:15:01.259030,543
2020-10-30 22:15:01.259920,545
2020-10-30 22:15:01.262385,546
2020-10-30 22:15:01.264079,545
2020-10-30 22:15:01.265466,536
2020-10-30 22:15:01.267206,530
2020-10-30 22:15:01.267871,528
2020-10-30 22:15:01.269549,535
2020-10-30 22:15:01.270815,535
2020-10-30 22:15:01.271585,533
2020-10-30 22:15:01.274358,528
2020-10-30 22:15:01.275087,528
2020-10-30 22:15:01.277052,535
2020-10-30 22:15:01.277701,542
2020-10-30 22:15:01.278586,555
2020-10-30 22:15:01.281783,562
2020-10-30 22:15:01.282618,564
2020-10-30 22:15:01.283583,562
2020-10-30 22:15:01.284814,556
2020-10-30 22:15:01.288098,553
2020-10-30 22:15:01.288897,549
2020-10-30 22:15:01.290697,545
2020-10-30 22:15:01.291448,547
2020-10-30 22:15:01.293643,552
2020-10-30 22:15:01.294519,552
2020-10-30 22:15:01.295187,550
2020-10-30 22:15:01.297763,547
2020-10-30 22:15:01.298587,546
2020-10-30 22:15:01.299427,542
2020-10-30 22:15:01.300974,534
2020-10-30 22:15:01.302633,529
2020-10-30 22:15:01.305366,522
2020-10-30 22:15:01.306353,519
2020-10-30 22:15:01.307127,517
2020-10-30 22:15:01.308213,520
2020-10-30 22:15:01.309678,522
2020-10-30 22:15:01.311145,522
2020-10-30 22:15:01.312550,520
2020-10-30 22:15:01.314075,522
2020-10-30 22:15:01.315907,525
2020-10-30 22:15:01.318536,526
2020-10-30 22:15:01.319408,526
2020-10-30 22:15:01.320296,529
2020-10-30 22:15:01.321274,526
2020-10-30 22:15:01.323052,528
2020-10-30 22:15:01.324596,533
2020-10-30 22:15:01.326239,541
2020-10-30 22:15:01.328759,547
2020-10-30 22:15:01.329635,552
2020-10-30 22:15:01.330550,544
2020-10-30 22:15:01.333350,538
2020-10-30 22:15:01.334144,540
2020-10-30 22:15:01.338972,538
2020-10-30 22:15:01.340095,536
2020-10-30 22:15:01.340900,533
2020-10-30 22:15:01.341603,533
2020-10-30 22:15:01.342746,536
2020-10-30 22:15:01.343818,534
2020-10-30 22:15:01.344814,533
2020-10-30 22:15:01.346422,529
2020-10-30 22:15:01.347141,523
2020-10-30 22:15:01.347890,518
2020-10-30 22:15:01.349902,523
2020-10-30 22:15:01.352301,530
2020-10-30 22:15:01.353174,531
2020-10-30 22:15:01.354196,528
2020-10-30 22:15:01.357095,532
2020-10-30 22:15:01.358013,533
2020-10-30 22:15:01.358931,532
2020-10-30 22:15:01.359874,532
2020-10-30 22:15:01.361567,532
2020-10-30 22:15:01.362924,533
2020-10-30 22:15:01.364750,533
2020-10-30 22:15:01.379096,529
2020-10-30 22:15:01.382172,528
2020-10-30 22:15:01.388716,529
2020-10-30 22:15:01.389328,530
2020-10-30 22:15:01.390358,531
2020-10-30 22:15:01.391352,533
2020-10-30 22:15:01.392741,535
2020-10-30 22:15:01.394004,536
2020-10-30 22:15:01.395187,537
2020-10-30 22:15:01.396014,541
2020-10-30 22:15:01.396620,542
2020-10-30 22:15:01.397111,543
2020-10-30 22:15:01.398244,542
2020-10-30 22:15:01.399497,541
2020-10-30 22:15:01.400221,535
2020-10-30 22:15:01.401035,535
2020-10-30 22:15:01.401866,534
2020-10-30 22:15:01.403058,532
2020-10-30 22:15:01.404175,530
2020-10-30 22:15:01.405131,528
2020-10-30 22:15:01.405920,526
2020-10-30 22:15:01.406529,526
2020-10-30 22:15:01.407058,521
2020-10-30 22:15:01.407545,516
2020-10-30 22:15:01.408057,513
2020-10-30 22:15:01.408566,509
2020-10-30 22:15:01.409074,512
2020-10-30 22:15:01.410104,514
2020-10-30 22:15:01.410710,514
2020-10-30 22:15:01.411414,514
2020-10-30 22:15:01.412017,514
2020-10-30 22:15:01.412717,514
2020-10-30 22:15:01.414197,514
2020-10-30 22:15:01.415237,513
2020-10-30 22:15:01.416207,508
2020-10-30 22:15:01.417059,506
2020-10-30 22:15:01.418933,505
2020-10-30 22:15:01.420567,505
2020-10-30 22:15:01.422128,505
2020-10-30 22:15:01.424825,501
2020-10-30 22:15:01.425760,499
2020-10-30 22:15:01.426528,497
2020-10-30 22:15:01.428977,494
2020-10-30 22:15:01.429815,494
2020-10-30 22:15:01.432338,488
2020-10-30 22:15:01.435423,485
2020-10-30 22:15:01.436601,486
2020-10-30 22:15:01.437815,487
2020-10-30 22:15:01.439584,487
2020-10-30 22:15:01.441930,485
2020-10-30 22:15:01.442981,485
2020-10-30 22:15:01.444036,483
2020-10-30 22:15:01.444914,482
2020-10-30 22:15:01.445633,481
2020-10-30 22:15:01.446947,478
2020-10-30 22:15:01.447977,478
2020-10-30 22:15:01.448779,478
2020-10-30 22:15:01.451476,477
2020-10-30 22:15:01.452849,477
2020-10-30 22:15:01.454080,475
2020-10-30 22:15:01.455280,475
2020-10-30 22:15:01.456112,474
